RevolvingUtilizationOfUnsecuredLines,Age,Late30to59Days,DebtRatio,MonthlyIncome,OpenCreditLinesAndLoans,Late90Days,RealEstateLoans,Late60to89Days,Dependents
0.7661,45,2,0.803,9120,13,0,6,0,2
0.9572,40,0,0.1219,2600,4,0,0,0,1
0.6582,38,1,0.08511,3042,2,1,0,0,0
0.2338,30,0,0.03605,3300,5,0,0,0,0
0.9072,49,1,0.02493,6.359e+04,7,0,1,0,0
0.2132,74,0,0.3756,3500,3,0,1,0,1
0.7545,39,0,0.2099,3500,8,0,0,0,0
0.1892,57,0,0.6063,2.368e+04,9,0,4,0,2
0.6442,30,0,0.3095,2500,5,0,0,0,0
0.0188,51,0,0.5315,6501,7,0,2,0,2
0.01966,76,0,477,0,6,0,1,0,0
0.5485,64,0,0.2099,1.136e+04,7,0,1,0,2
0.1663,53,0,0.1883,8800,7,0,0,0,0
0.6028,25,0,0.06587,333,2,0,0,0,0
0.2009,43,0,0.43,1.23e+04,10,0,2,0,0
0.02566,38,0,0.4758,3000,7,0,1,0,2
1,39,0,0.2411,2500,4,0,0,0,0
0.04656,58,0,0.2416,2416,9,0,1,0,0
0.05244,58,0,0.09767,8333,22,0,1,0,0
0.03442,69,0,0.04238,2500,17,0,0,0,1
0.4525,24,0,0.01176,3400,1,0,0,0,0
0.393,58,2,0.4361,5500,15,0,1,0,0
0.7041,28,1,0.1552,4200,8,0,0,0,0
1,24,0,0.4727,750,1,0,0,0,0
0.6933,42,2,0.2577,2230,7,0,0,0,0
0,64,0,0.07354,1.1e+04,9,0,1,0,0
1,75,1,0.1341,3400,1,0,1,0,1
0.3636,26,0,0.00999,1000,1,0,0,0,0
0.3045,52,0,0.8083,3500,10,0,2,0,0
0.72,41,1,0.5396,5700,14,0,1,0,0
0.4691,31,0,0.04821,9250,4,0,0,0,1
0.7187,28,0,0.1701,3661,4,0,0,0,1
0.3689,68,0,1688,1,31,0,1,0,0
0.0006027,70,0,0.1778,1.68e+04,12,0,1,0,2
0.06144,62,0,0.01117,3133,2,0,0,0,0
0.1401,31,0,0.6894,1937,4,0,2,0,0
0.834,38,0,0.3937,1.3e+04,13,0,2,0,2
7.96e-05,70,0,0.2563,6900,21,1,1,0,0
0.819,73,0,3095,0,9,0,1,1,0
0.7282,31,0,0.8247,3000,10,0,2,0,1
0.02856,51,0,0.3064,5750,5,0,1,0,0
0.992,29,0,0.008065,2231,1,0,0,0,0
0.07085,55,0,0.07315,1.379e+04,4,0,1,0,0
0.455,46,1,0.01692,1.3e+04,10,0,0,0,1
0.4012,64,0,0.3513,3216,4,0,1,0,0
0.6516,58,0,0.2411,7783,11,0,1,0,0
0.0274,69,0,0.008034,5600,3,0,0,0,0
0.3375,60,0,0.5499,4500,10,0,2,0,0
0.7509,55,2,0.3164,7723,17,0,1,0,1
0.006799,27,1,0.681,764,3,0,0,0,0
0.004264,31,0,0.1114,2000,6,1,0,0,2
0.2695,64,0,0.1611,9455,13,0,1,0,3
0.2659,36,0,0.2626,8384,6,0,2,0,1
0.8277,56,0,0.3696,6793,15,1,1,0,0
0.1331,49,1,0.1829,1.026e+04,9,0,2,0,3
0.2342,36,0,0.1166,8600,19,0,0,0,3
0.1223,29,0,0.6946,4800,5,0,1,0,0
0.4604,37,0,0.07416,4975,6,0,0,0,0
0.2705,41,0,2.798,1042,11,0,2,0,2
0.1833,52,0,0.1111,1.083e+04,14,0,2,0,1
0.07486,66,0,0.2088,4500,3,0,1,0,0
0.0545,56,0,0.492,4950,18,0,2,0,0
0.02916,31,0,0.395,3300,10,0,1,0,0
0,58,0,0.3161,4886,9,0,1,0,1
0.7345,45,0,0.5915,4716,13,0,2,0,2
0.08056,60,0,0.4873,4916,15,0,2,0,0
0.03939,51,0,1.547e+04,0,7,0,0,0,0
0.02377,83,0,0.1238,1.05e+04,13,0,0,0,0
0.8888,34,0,0.3684,3050,4,0,0,0,1
0.7912,44,0,0.5124,3100,5,0,1,0,0
0.2454,37,0,0.2884,6500,11,1,1,1,0
0.3632,32,0,0.4805,2900,4,0,1,0,0
0.01939,34,0,0.3259,4000,9,0,1,0,0
0.6345,52,0,0.1382,2690,2,0,0,0,0
0.888,44,0,0.2992,4908,8,0,0,0,1
0.003109,57,0,0.2589,8333,7,0,1,0,0
0.1148,46,0,0.02624,6250,6,0,0,0,3
0.01889,80,0,0.003479,1.006e+04,5,0,0,0,0
0.6354,32,0,0.5195,3000,4,0,1,0,1
1,62,0,0.6642,8314,8,0,3,0,0
0.3184,58,0,1.383,3833,26,0,4,0,0
0.187,52,0,0.02399,3500,4,0,0,0,0
0.006542,68,0,0.1081,1e+04,10,0,2,0,1
0.181,39,1,0.3844,3097,7,0,1,0,3
0.06791,46,0,0.1491,1.02e+04,6,0,2,0,0
0.03346,44,0,1.243,4067,5,0,2,0,1
0.01527,68,0,0.1229,8168,6,0,0,0,0
0.318,34,0,0.2979,4500,11,0,2,0,0
0.2976,67,0,0.2395,4145,13,0,0,0,0
0,59,0,0.2189,1.917e+04,13,0,2,0,0
0.1519,36,0,0.2664,1.2e+04,22,0,2,0,0
0,48,0,0.5175,4550,7,0,2,0,0
0.163,81,0,0.08648,2751,7,0,0,0,1
0.04731,51,0,0.1009,3150,5,0,0,0,0
0.08388,53,0,0.1996,7943,8,0,1,0,0
0.08948,56,0,1.066,2700,11,0,1,0,2
0.7735,63,0,1.129,4139,12,0,1,0,1
0.09396,55,0,0.1121,9450,6,0,2,0,0
0.148,55,0,0.3231,6799,5,0,1,0,0
0.2439,53,0,0.534,8639,22,0,2,0,3
0.1167,31,0,0.3436,3800,7,0,1,0,0
1,38,0,0.4337,5821,7,0,1,0,4
0.4969,40,0,0.4524,1.25e+04,11,0,2,0,2
0.1309,48,1,0.4279,3937,17,0,1,0,0
0.547,50,0,0.7481,3500,9,0,2,0,3
0.07228,34,0,0.02591,2083,2,0,0,0,0
0,48,2,0.3709,3000,14,0,1,0,5
0,28,0,0.1446,3166,7,0,0,0,0
0.2129,36,0,0.5638,9583,10,0,2,0,1
0.01268,60,0,0.413,6825,20,0,2,0,0
0.1216,58,0,0.343,1.2e+04,23,0,2,0,4
0.0408,49,0,0.802,3100,11,0,1,0,0
0.1477,40,0,0.03485,6800,6,0,0,0,3
0,50,1,0.7266,3477,5,0,1,0,1
1.046,47,1,1.104,5416,6,0,2,0,1
0.3237,63,0,0.6108,5146,9,0,2,0,2
0.3646,42,0,0.5939,6916,7,0,3,0,0
0.02097,29,0,639.5,1,3,0,1,0,2
0.1701,36,0,0.1385,7734,8,0,0,0,0
0.7718,33,0,0.8524,5000,7,0,3,0,0
